Film_title;Release_year;Director;Genres;Original_language;Average_rating;Runtime
The Fan;nan;Eckhart Schmidt;['Horror', 'Drama'];German;3.57;92
Mad Max: Fury Road;nan;George Miller;['Adventure', 'Science Fiction', 'Action'];English;4.18;121
Suspiria;nan;Dario Argento;['Horror'];English;3.93;99
Lost in Translation;nan;Sofia Coppola;['Drama', 'Comedy', 'Romance'];English;3.79;102
Akira;nan;Katsuhiro Otomo;['Animation', 'Action', 'Science Fiction'];Japanese;4.28;124
Things to Come;nan;Mia Hansen-Løve;['Drama'];French;3.77;102
Big Trouble in Little China;nan;John Carpenter;['Comedy', 'Adventure', 'Fantasy', 'Action'];English;3.72;100
Star Wars;nan;George Lucas;['Adventure', 'Action', 'Science Fiction'];English;4.17;121
The Third Man;nan;Carol Reed;['Mystery', 'Thriller'];English;4.25;105
The Big Sick;nan;Michael Showalter;['Drama', 'Comedy', 'Romance'];English;3.76;120
Jodorowsky's Dune;nan;Frank Pavich;['Documentary'];English;3.96;90
Get Out;nan;Jordan Peele;['Horror', 'Mystery', 'Thriller'];English;4.15;104
Lawrence of Arabia;nan;David Lean;['Adventure', 'War', 'History'];English;4.38;228
Free Fire;nan;Ben Wheatley;['Action', 'Crime', 'Mystery'];English;3.16;90
Sing Street;nan;John Carney;['Romance', 'Drama', 'Music', 'Comedy'];English;4.04;105
Up;nan;Pete Docter;['Animation', 'Adventure', 'Family', 'Comedy'];English;4.1;96
Blade Runner;nan;Ridley Scott;['Thriller', 'Drama', 'Science Fiction'];English;4.1;118
Annie Hall;nan;Woody Allen;['Drama', 'Romance', 'Comedy'];English;4.04;93
The Truman Show;nan;Peter Weir;['Comedy', 'Drama'];English;4.22;103
Wonder Woman;nan;Patty Jenkins;['Action', 'Fantasy', 'Adventure'];English;3.24;141
Plan 9 from Outer Space;nan;Edward D. Wood Jr.;['Science Fiction', 'Horror'];English;2.24;79
Whiplash;nan;Damien Chazelle;['Drama', 'Music'];English;4.42;107
